"year","artist_name","weeks"
1995,"Guus Meeuwis & Vagant","16"
1995,"Vangelis","27"
1995,"Céline Dion","24"
1995,"Coolio feat. L.V.","9"
1995,"Kamiel Spiessens","11"
1995,"Jimmy B.","10"
1995,"Scatman John","22"
1995,"Céline Dion","24"
1995,"Bryan Adams","26"
1995,"Gompie","14"
1995,"Snap! feat. Summer","12"
1995,"Scatman John","17"
1995,"Höllenboer","11"
1995,"Marco Borsato","10"
1995,"Double Vision","6"
1995,"Offspring","23"
1995,"Take That","16"
1995,"Eddy Wally","18"
1995,"Sin With Sebastian","15"
1995,"Wendy Van Wanten","16"
1995,"Edwyn Collins",""
1995,"Clouseau","6"
1995,"The Connells","19"
1995,"Urbanus",""
1995,"Simply Red",""
1995,"Technohead","17"
1995,"Nick Cave & The Bad Seeds + Kylie Minogue","11"
1995,"La Bouche","16"
1995,"K's Choice","19"
1995,"Shaggy","13"
1995,"Tokyo Ghetto Pussy","11"
1995,"Marco Borsato",""
1995,"Michael Jackson","15"
1995,"Winx","16"
1995,"Secret Garden","16"
1995,"The Cranberries",""
1995,"Mark 'Oh","6"
1995,"Ini Kamoze",""
1995,"Clouseau","12"
1995,"Tom Wilson","15"
1995,"East 17",""
1995,"2 Brothers On The 4th Floor feat. Des'Ray And D-Rock","14"
1995,"Soulsister",""
1995,"Nightcrawlers","15"
1995,"Boyzone","12"
1995,"Will Tura",""
1995,"Sam Gooris","15"
1995,"Sha-Na","15"
1995,"Will Tura","14"
1995,"Vaya Con Dios","15"
1995,"Me & My","13"
1995,"Diana King","12"
1995,"Noordkaap","15"
1995,"Nina [1990s]",""
1995,"N-Trance feat. Ricardo Da Force","13"
1995,"Bon Jovi","16"
1995,"Zolex","17"
1995,"Everything But The Girl","15"
1995,"De Brugse Strangers","11"
1995,"The Championettes",""
1995,"Duke","15"
1995,"M.C. Sar & The Real McCoy",""
1995,"Mama's Jasje en de Studenten",""
1995,"Hermes House Band",""
1995,"Dana Winner",""
1995,"Dana Winner","11"
1995,"Captain Hollywood Project","7"
1995,"Party Zone feat. Mario Caselli","13"
1995,"Queen","8"
1995,"Wendy Van Wanten","9"
1995,"Haddaway","12"
1995,"Meat Loaf","9"
1995,"U2","16"
1995,"Take That","11"
1995,"Mama's Jasje","10"
1995,"Leopold 3","6"
1995,"Pop In Wonderland & Melanie",""
1995,"740 Boyz feat. 2 In A Room","11"
1995,"Yasmine","11"
1995,"Nicki French","8"
1995,"Good Shape","11"
1995,"Boyzone","14"
1995,"DJ Bobo","13"
1995,"2 Unlimited","9"
1995,"André Rieu",""
1995,"Nina [1990s]","13"
1995,"Céline Dion","14"
1995,"The Clement Peerens Explosition","9"
1995,"Michael Jackson & Janet Jackson","8"
1995,"Dana Winner","10"
1995,"MN8","12"
1995,"Kamiel Spiessens","10"
1995,"E-Rotic","8"
1995,"Kenny ""Dope"" pres. The Bucketheads","14"
1995,"Good Shape","9"
1995,"En Zo...","10"
1995,"Whigfield","11"
1995,"Scooter","10"
1995,"20 Fingers",""
1995,"Helmut Lotti","8"
1996,"Andrea Bocelli","20"
1996,"Fugees","18"
1996,"Los Del Rio","24"
1996,"Robert Miles","22"
1996,"Babylon Zoo","15"
1996,"Paradisio","20"
1996,"Rob de Nijs","24"
1996,"Joan Osborne","22"
1996,"2 Fabiola","21"
1996,"Double Vision","16"
1996,"Garry Hagger","18"
1996,"Spice Girls","16"
1996,"Fool's Garden","19"
1996,"2 Fabiola","13"
1996,"Get Ready!","20"
1996,"Coolio feat. L.V.","17"
1996,"Double Vision","15"
1996,"Luniz","16"
1996,"Céline Dion","16"
