"België","NA.","NA..1","Brussel","NA..2","NA..3","Vlaanderen","NA..4","NA..5","Wallonië","NA..6","NA..7","year"
1,"Laura",1484,1,"Sarah",146,1,"Laura",811,1,"Laura",549,1995
2,"Sarah",914,2,"Laura",124,2,"Julie",492,2,"Marie",424,1995
3,"Julie",865,3,"Marie",72,3,"Charlotte",482,3,"Manon",399,1995
4,"Charlotte",773,4,"Céline",70,4,"Sarah",453,4,"Julie",315,1995
5,"Marie",726,5,"Yousra",59,5,"Lisa",387,4,"Sarah",315,1995
6,"Manon",539,6,"Julie",58,6,"Jolien",375,6,"Pauline",284,1995
7,"Lisa",521,7,"Charlotte",51,7,"Eline",350,6,"Céline",284,1995
8,"Céline",485,8,"Morgane",49,8,"Ellen",339,8,"Camille",271,1995
9,"Pauline",460,9,"Imane",48,9,"Sofie",337,9,"Marine",269,1995
10,"Camille",423,10,"Camille",44,10,"Jana",258,10,"Justine",265,1995
11,"Justine",407,10,"Marine",44,11,"Hanne",257,11,"Charlotte",240,1995
12,"Kelly",393,12,"Sara",43,12,"Melissa",250,12,"Anaïs",210,1995
13,"Jolien",377,12,"Jessica",43,12,"Kimberly",250,13,"Amandine",187,1995
14,"Eline",375,14,"Aurélie",42,14,"Kelly",242,14,"Emilie",184,1995
15,"Sophie",343,15,"Anaïs",40,15,"Lotte",231,15,"Sophie",181,1995
16,"Ellen",342,16,"Louise",39,16,"Marie",230,16,"Aurélie",178,1995
17,"Sofie",338,17,"Sophie",38,17,"Lore",216,17,"Mathilde",170,1995
18,"Melissa",336,17,"Kelly",38,18,"Silke",214,18,"Elodie",168,1995
19,"Marine",332,19,"Alexandra",34,19,"Emma",209,19,"Kimberley",161,1995
20,"Emilie",316,19,"Mathilde",34,19,"Elien",209,20,"Mégane",160,1995
21,"Elise",314,21,"Nora",33,21,"Eva",208,21,"Caroline",158,1995
22,"Louise",312,21,"Manon",33,22,"Sara",207,22,"Mélanie",157,1995
23,"Anaïs",305,21,"Emilie",33,23,"Nele",191,23,"Noémie",140,1995
24,"Sara",302,21,"Yasmina",33,24,"Lien",180,24,"Louise",137,1995
25,"Aurélie",275,21,"Nisrine",33,25,"Stephanie",179,25,"Chloé",117,1995
26,"Caroline",270,26,"Yasmine",31,26,"Elise",172,26,"Elise",116,1995
26,"Kimberly",270,27,"Melissa",30,27,"Amber",167,26,"Morgane",116,1995
