artist_name;name1
Guus Meeuwis & Vagant;Guus
Céline Dion;Céline
Kamiel Spiessens;Kamiel
Jimmy B.;Jimmy
Bryan Adams;Bryan
Marco Borsato;Marco
Wendy Van Wanten;Wendy
Nick Cave & The Bad Seeds + Kylie Minogue;Kylie
Michael Jackson;Michael
Diana King;Diana
Dana Winner;Dana
Yasmine;Yasmine
Helmut Lotti;Helmut
Enrique Iglesias;Enrique
Lisa Del Bo;Lisa
Backstreet Boys;Nick
Get Ready!;Jimmy
Eros Ramazzotti;Eros
Spice Girls;Emma
Ricky Martin;Ricky
Meredith Brooks;Meredith
Lionel Richie;Lionel
Khaled;Khaled
Emilia;Emilia
The Mackenzie feat. Jessy;Jessy
Alana Dante;Alana
Shania Twain;Shania
Britney Spears;Britney
Whitney Houston;Whitney
Christina Aguilera;Christina
Cher;Cher
Jody Bernal;Jody
Jennifer Lopez;Jennifer
Aaliyah;Aaliyah
Jessica Simpson;Jessica
Axelle Red;Axella
Robbie Williams;Robbie
Nelly Furtado;Nelly
Shakira;Shakira
Ronan Keating;Ronan
Justin Timberlake;Justin
Sertab;Sertab
Gareth Gates;Gareth
Brahim;Brahim
Natalia;Natalia
Jamelia;Jamelia
Tonya;Tonya
Kate Ryan;Kate
Gene Thomas;Gene
Anouk;Anouk
Gwen Stefani;Gwen
Rihanna;Rihanna
Belle Perez;Belle
Udo;Udo
Paris Hilton;Paris
Mega Mindy;Mindy
Katy Perry;Katy
Alicia Keys;Alicia
Adele;Adele
Leona Lewis;Leona
Lady Linn And Her Magnificent Seven;Linn
Ke$ha;Kesha
Kelis;Kelis
Justin Bieber;Justin
Lily Allen;Lily
Kylie Minogue;Kylie
Selena Gomez & The Scene;Selena
Bruno Mars;Bruno
Miley Cyrus;Miley
Drake;Drake
Calvin Harris;Calvin
Oscar And The Wolf;Oscar
Ed Sheeran;Ed
Kendrick Lamar;Kendrick
Florence + The Machine;Florence
Noémie Wolfs;Noémie
Milo Meskens;Milo
